reportts,acnum,pos,egtm
2018-12-24 10:53:22,VQ-BGU,1,44.437
2018-12-24 10:53:22,VQ-BGU,2,45.869
2018-12-25 15:23:23,VQ-BGU,1,44.379
2018-12-25 15:23:23,VQ-BGU,2,44.904
2018-12-25 20:49:27,VQ-BGU,1,43.742
2018-12-25 20:49:27,VQ-BGU,2,44.318
2018-12-26 11:42:26,VQ-BGU,1,46.443
2018-12-26 11:42:26,VQ-BGU,2,46.754
2018-12-26 15:19:13,VQ-BGU,1,47.66
2018-12-26 15:19:13,VQ-BGU,2,47.85
2018-12-26 20:07:26,VQ-BGU,1,45.172
2018-12-26 20:07:26,VQ-BGU,2,47.049
2018-12-27 03:36:03,VQ-BGU,1,45.507
2018-12-27 03:36:03,VQ-BGU,2,47.055
2018-12-27 12:12:42,VQ-BGU,2,46.403
2018-12-27 12:12:42,VQ-BGU,1,46.462
2018-12-27 15:45:47,VQ-BGU,2,46.36
2018-12-27 15:45:47,VQ-BGU,1,45.329
2018-12-27 20:24:54,VQ-BGU,2,46.773
2018-12-27 20:24:54,VQ-BGU,1,46.366
2018-12-28 01:55:57,VQ-BGU,2,47.037
2018-12-28 01:55:57,VQ-BGU,1,46.412
2018-12-28 20:02:32,VQ-BGU,1,45.586
2018-12-28 20:02:32,VQ-BGU,2,46.123
2018-12-29 01:10:58,VQ-BGU,1,44.898
2018-12-29 01:10:58,VQ-BGU,2,46.387
2018-12-29 11:32:42,VQ-BGU,1,45.402
2018-12-29 11:32:42,VQ-BGU,2,46.903
2018-12-29 14:42:27,VQ-BGU,1,45.382
2018-12-29 14:42:27,VQ-BGU,2,46.333
2018-12-30 01:23:54,VQ-BGU,2,43.239
2018-12-30 01:23:54,VQ-BGU,1,44.126
2018-12-30 07:12:25,VQ-BGU,1,45.901
2018-12-30 07:12:25,VQ-BGU,2,44.099
2018-12-30 10:38:54,VQ-BGU,2,43.458
2018-12-30 10:38:54,VQ-BGU,1,45.489
2018-12-30 17:35:32,VQ-BGU,1,45.837
2018-12-30 17:35:32,VQ-BGU,2,43.454
2018-12-30 20:54:08,VQ-BGU,2,43.111
2018-12-30 20:54:08,VQ-BGU,1,44.764
2018-12-31 01:07:41,VQ-BGU,1,45.034
2018-12-31 01:07:41,VQ-BGU,2,43.477
2019-01-01 11:27:20,VQ-BGU,1,44.069
2019-01-01 11:27:20,VQ-BGU,2,42.26
2019-01-01 14:45:47,VQ-BGU,1,44.803
2019-01-01 14:45:47,VQ-BGU,2,42.746
2019-01-02 09:45:54,VQ-BGU,2,42.779
2019-01-02 09:45:54,VQ-BGU,1,43.87
2019-01-02 20:10:43,VQ-BGU,2,41.886
2019-01-02 20:10:43,VQ-BGU,1,42.73
2019-01-03 01:12:38,VQ-BGU,2,42.945
2019-01-03 01:12:38,VQ-BGU,1,42.851
2019-01-03 11:30:21,VQ-BGU,1,42.313
2019-01-03 11:30:21,VQ-BGU,2,42.502
2019-01-04 01:04:53,VQ-BGU,1,42.374
2019-01-04 01:04:53,VQ-BGU,2,42.915
2019-01-04 11:48:00,VQ-BGU,1,41.973
2019-01-04 11:48:00,VQ-BGU,2,42.703
2019-01-04 15:40:47,VQ-BGU,2,44.277
2019-01-04 15:40:47,VQ-BGU,1,44.101
2019-01-04 20:04:15,VQ-BGU,2,44.049
2019-01-04 20:04:15,VQ-BGU,1,43.983
2019-01-05 01:06:24,VQ-BGU,1,43.896
2019-01-05 01:06:24,VQ-BGU,2,43.95
2019-01-05 11:31:54,VQ-BGU,2,43.659
2019-01-05 11:31:54,VQ-BGU,1,43.627
2019-01-05 16:07:26,VQ-BGU,1,43.348
2019-01-05 16:07:26,VQ-BGU,2,43.348
2019-01-05 20:32:11,VQ-BGU,1,43.518
2019-01-05 20:32:11,VQ-BGU,2,43.479
2019-01-06 02:02:15,VQ-BGU,1,43.529
2019-01-06 02:02:15,VQ-BGU,2,43.407
2019-01-06 09:53:57,VQ-BGU,2,43.312
