reportts,acnum,pos,egtm
2019-06-15 18:32:40,VQ-BGU,1,26.32698838095238
2019-06-16 14:21:47,VQ-BGU,1,26.435296619047627
2019-06-16 19:05:18,VQ-BGU,1,26.23801773809525
2019-06-17 03:53:17,VQ-BGU,1,25.881350452380957
2019-06-17 12:46:58,VQ-BGU,1,25.934300166666667
2019-06-17 17:08:05,VQ-BGU,1,26.198672404761897
2019-06-18 07:07:24,VQ-BGU,1,26.4199834047619
2019-06-18 12:46:13,VQ-BGU,1,26.25989142857142
2019-06-18 17:13:18,VQ-BGU,1,26.79070997619047
2019-06-18 21:26:56,VQ-BGU,1,27.044719857142844
2019-06-19 09:29:06,VQ-BGU,1,26.990303547619057
2019-06-19 13:45:38,VQ-BGU,1,27.356637523809535
2019-06-19 18:29:05,VQ-BGU,1,26.9865735
2019-06-20 09:22:01,VQ-BGU,1,26.928750261904746
2019-06-20 13:56:04,VQ-BGU,1,27.04278897619047
2019-06-20 18:47:31,VQ-BGU,1,27.03142364285714
2019-06-20 21:46:39,VQ-BGU,1,27.41343280952382
2019-06-21 07:39:46,VQ-BGU,1,27.548810952380954
2019-06-21 11:51:54,VQ-BGU,1,27.562447880952377
2019-06-21 15:12:10,VQ-BGU,1,27.663565023809525
2019-06-21 18:55:33,VQ-BGU,1,27.584051023809522
2019-06-22 01:51:26,VQ-BGU,1,27.639964452380955
2019-06-22 09:14:55,VQ-BGU,1,27.485088071428564
2019-06-22 13:44:12,VQ-BGU,1,27.581619547619052
2019-06-22 23:06:43,VQ-BGU,1,27.689825333333328
2019-06-23 02:40:48,VQ-BGU,1,27.63115230952381
2019-06-23 09:27:01,VQ-BGU,1,27.52031142857142
2019-06-23 14:06:45,VQ-BGU,1,27.622606214285714
2019-06-23 18:53:27,VQ-BGU,1,27.481621380952376
2019-06-24 01:42:59,VQ-BGU,1,27.556914904761896
2019-06-24 09:04:21,VQ-BGU,1,27.170571857142864
2019-06-24 18:38:41,VQ-BGU,1,27.070303904761886
2019-06-25 01:31:03,VQ-BGU,1,26.777896380952374
2019-06-25 13:35:02,VQ-BGU,1,26.593530357142857
2019-06-25 18:21:12,VQ-BGU,1,26.386213642857143
2019-06-26 12:45:57,VQ-BGU,1,26.39444414285716
