reportts,acnum,pos,egtm
2019-06-15 18:32:40,VQ-BGU,1,26.11118645797804
2019-06-16 14:21:47,VQ-BGU,1,26.462817526315646
2019-06-16 19:05:18,VQ-BGU,1,26.11298826556805
2019-06-17 03:53:17,VQ-BGU,1,26.120266939063853
2019-06-17 12:46:58,VQ-BGU,1,26.211815147758262
2019-06-17 17:08:05,VQ-BGU,1,26.826344905645243
2019-06-18 07:07:24,VQ-BGU,1,26.98174131699742
2019-06-18 12:46:13,VQ-BGU,1,26.86688139560816
2019-06-18 17:13:18,VQ-BGU,1,26.740904314678772
2019-06-18 21:26:56,VQ-BGU,1,26.66259031276281
2019-06-19 09:29:06,VQ-BGU,1,26.74960246434733
2019-06-19 13:45:38,VQ-BGU,1,26.95960524558192
2019-06-19 18:29:05,VQ-BGU,1,26.39551204138118
2019-06-20 09:22:01,VQ-BGU,1,26.708339093895876
2019-06-20 13:56:04,VQ-BGU,1,27.054921920814973
2019-06-20 18:47:31,VQ-BGU,1,27.385042826096996
2019-06-20 21:46:39,VQ-BGU,1,27.226505986463703
2019-06-21 07:39:46,VQ-BGU,1,27.496166559921303
2019-06-21 11:51:54,VQ-BGU,1,27.104291613431013
2019-06-21 15:12:10,VQ-BGU,1,27.44753074812933
2019-06-21 18:55:33,VQ-BGU,1,27.17566162511669
2019-06-22 01:51:26,VQ-BGU,1,27.111837056345006
2019-06-22 09:14:55,VQ-BGU,1,26.554583405181567
2019-06-22 13:44:12,VQ-BGU,1,27.626787321822775
2019-06-22 23:06:43,VQ-BGU,1,27.02163426818315
2019-06-23 02:40:48,VQ-BGU,1,27.411887570902326
2019-06-23 09:27:01,VQ-BGU,1,27.20237335417933
2019-06-23 14:06:45,VQ-BGU,1,27.348014053040156
2019-06-23 18:53:27,VQ-BGU,1,27.188077488015768
2019-06-24 01:42:59,VQ-BGU,1,27.119827089912505
2019-06-24 09:04:21,VQ-BGU,1,26.738448454183025
2019-06-24 18:38:41,VQ-BGU,1,26.659621856886147
2019-06-25 01:31:03,VQ-BGU,1,26.873372056231688
2019-06-25 13:35:02,VQ-BGU,1,27.23808778080056
2019-06-25 18:21:12,VQ-BGU,1,26.48968062305812
2019-06-26 12:45:57,VQ-BGU,1,26.964704311561345
2019-06-27 02:40:41,VQ-BGU,1,26.60096068885606
2019-06-27 07:09:08,VQ-BGU,1,26.54490172462547
2019-06-27 12:43:14,VQ-BGU,1,26.451869522286593
2019-06-27 17:10:05,VQ-BGU,1,26.909615529184723
2019-06-27 21:38:48,VQ-BGU,1,26.743237168319666
2019-06-28 01:45:21,VQ-BGU,1,26.816611381752516
2019-06-28 13:35:30,VQ-BGU,1,26.694018864989445
2019-06-28 18:20:13,VQ-BGU,1,26.665844221281386
2019-06-29 12:45:21,VQ-BGU,1,26.636560840843888
2019-06-29 17:11:36,VQ-BGU,1,26.619627481428193
2019-06-29 21:27:05,VQ-BGU,1,26.614078676764613
2019-06-30 02:15:17,VQ-BGU,1,26.794500346953335
2019-07-01 12:45:07,VQ-BGU,1,26.411514058738952
2019-07-01 22:17:54,VQ-BGU,1,26.685173342124813
2019-07-02 03:46:44,VQ-BGU,1,26.618710149141403
2019-07-02 13:55:36,VQ-BGU,1,26.814822142687948
2019-07-03 07:16:06,VQ-BGU,1,26.20023368254688
2019-07-03 11:51:50,VQ-BGU,1,26.790546415253807
2019-07-04 12:51:38,VQ-BGU,1,26.688484272626887
2019-07-04 22:08:17,VQ-BGU,1,26.65330334461704
2019-07-05 03:17:09,VQ-BGU,1,26.464095023581446
2019-07-05 09:07:51,VQ-BGU,1,25.659874484851713
2019-07-06 12:40:04,VQ-BGU,1,26.633940249244244
2019-07-06 17:09:17,VQ-BGU,1,26.05196778429084
2019-07-06 22:15:14,VQ-BGU,1,25.950496977661548
2019-07-07 03:21:21,VQ-BGU,1,25.98064299271527
2019-07-07 09:13:05,VQ-BGU,1,25.710220911568243
2019-07-07 13:59:13,VQ-BGU,1,25.450169177655752
2019-07-07 19:02:28,VQ-BGU,1,25.348017199119372
2019-07-08 18:56:49,VQ-BGU,1,24.339839893163365
2019-07-09 01:34:01,VQ-BGU,1,24.61015013921977
2019-07-09 09:11:57,VQ-BGU,1,24.34923875332283
2019-07-09 13:42:39,VQ-BGU,1,24.124753331464326
2019-07-09 18:51:50,VQ-BGU,1,24.3286553615217
2019-07-10 01:47:13,VQ-BGU,1,24.025412439594398
2019-07-10 09:52:53,VQ-BGU,1,24.04144058912635
2019-07-10 12:42:34,VQ-BGU,1,24.20768003477584
2019-07-14 03:46:15,VQ-BGU,1,23.61423471014183
2019-07-14 12:41:29,VQ-BGU,1,24.193350910786844
2019-07-14 17:07:10,VQ-BGU,1,23.96573938650426
2019-07-15 12:22:03,VQ-BGU,1,24.438223006505964
2019-07-15 15:27:22,VQ-BGU,1,23.779302634111932
2019-07-15 18:57:39,VQ-BGU,1,23.972150710943403
2019-07-16 13:34:01,VQ-BGU,1,23.70665017607199
2019-07-16 19:01:45,VQ-BGU,1,23.960809298983293
2019-07-17 19:08:37,VQ-BGU,1,23.796144516906793
2019-07-18 13:31:58,VQ-BGU,1,24.121566782305493
2019-07-18 18:35:19,VQ-BGU,1,23.525154327093137
2019-07-19 12:45:58,VQ-BGU,1,23.633713707468686
2019-07-19 17:09:27,VQ-BGU,1,23.706478570392548
2019-07-21 09:30:14,VQ-BGU,1,24.25879156432385
2019-07-21 14:10:37,VQ-BGU,1,23.760915850618353
2019-07-21 18:31:39,VQ-BGU,1,23.492083688813217
2019-07-22 12:42:52,VQ-BGU,1,23.529519406057716
2019-07-23 14:31:21,VQ-BGU,1,23.864780047985292
2019-07-23 19:23:54,VQ-BGU,1,23.407418551991995
2019-07-24 17:22:43,VQ-BGU,1,23.960490172163322
2019-07-24 22:09:53,VQ-BGU,1,23.904844245131738
