reportts,acnum,pos,egtm
2019-06-15 18:32:40,VQ-BGU,1,24.948356901605848
2019-06-16 14:21:47,VQ-BGU,1,25.230879810126112
2019-06-16 19:05:18,VQ-BGU,1,25.532597773579596
2019-06-17 03:53:17,VQ-BGU,1,27.4142379220541
2019-06-17 12:46:58,VQ-BGU,1,27.4142379220541
2019-06-17 17:08:05,VQ-BGU,1,28.45963294235355
2019-06-18 07:07:24,VQ-BGU,1,28.12559370641077
2019-06-18 12:46:13,VQ-BGU,1,28.12559370641077
2019-06-18 17:13:18,VQ-BGU,1,26.697486591472057
2019-06-18 21:26:56,VQ-BGU,1,26.697486591472057
2019-06-19 09:29:06,VQ-BGU,1,26.697486591472057
2019-06-19 13:45:38,VQ-BGU,1,27.451324148655203
2019-06-19 18:29:05,VQ-BGU,1,27.14173816229686
2019-06-20 09:22:01,VQ-BGU,1,27.14173816229686
2019-06-20 13:56:04,VQ-BGU,1,27.14173816229686
2019-06-20 18:47:31,VQ-BGU,1,29.35676385684627
2019-06-20 21:46:39,VQ-BGU,1,29.35676385684627
2019-06-21 07:39:46,VQ-BGU,1,28.270393259760453
2019-06-21 11:51:54,VQ-BGU,1,26.8699949717236
2019-06-21 15:12:10,VQ-BGU,1,28.195439274012756
2019-06-21 18:55:33,VQ-BGU,1,28.195439274012756
2019-06-22 01:51:26,VQ-BGU,1,35.54102967495044
2019-06-22 09:14:55,VQ-BGU,1,35.54102967495044
2019-06-22 13:44:12,VQ-BGU,1,26.62416280992977
2019-06-22 23:06:43,VQ-BGU,1,22.790632666365752
2019-06-23 02:40:48,VQ-BGU,1,22.790632666365752
2019-06-23 09:27:01,VQ-BGU,1,23.429604640235993
2019-06-23 14:06:45,VQ-BGU,1,26.931305136917672
2019-06-23 18:53:27,VQ-BGU,1,23.429604640235993
2019-06-24 01:42:59,VQ-BGU,1,26.40517305900994
2019-06-24 09:04:21,VQ-BGU,1,26.40517305900994
2019-06-24 18:38:41,VQ-BGU,1,26.40517305900994
2019-06-25 01:31:03,VQ-BGU,1,19.73200272815194
2019-06-25 13:35:02,VQ-BGU,1,19.73200272815194
2019-06-25 18:21:12,VQ-BGU,1,25.749873689663332
2019-06-26 12:45:57,VQ-BGU,1,26.51448950864426
2019-06-27 02:40:41,VQ-BGU,1,25.749873689663332
2019-06-27 07:09:08,VQ-BGU,1,27.876153130727175
2019-06-27 12:43:14,VQ-BGU,1,24.531268206703146
2019-06-27 17:10:05,VQ-BGU,1,26.761740926247228
2019-06-27 21:38:48,VQ-BGU,1,24.783745396258837
2019-06-28 01:45:21,VQ-BGU,1,24.940490513602356
2019-06-28 13:35:30,VQ-BGU,1,24.940490513602356
2019-06-28 18:20:13,VQ-BGU,1,25.970168788963633
2019-06-29 12:45:21,VQ-BGU,1,25.970168788963633
2019-06-29 17:11:36,VQ-BGU,1,25.970168788963633
2019-06-29 21:27:05,VQ-BGU,1,30.471767070160695
2019-06-30 02:15:17,VQ-BGU,1,30.471767070160695
2019-07-01 12:45:07,VQ-BGU,1,28.141721087927124
2019-07-01 22:17:54,VQ-BGU,1,27.433745755247514
2019-07-02 03:46:44,VQ-BGU,1,28.141721087927124
2019-07-02 13:55:36,VQ-BGU,1,27.433745755247514
2019-07-03 07:16:06,VQ-BGU,1,24.162684330240154
2019-07-03 11:51:50,VQ-BGU,1,23.608046363552717
2019-07-04 12:51:38,VQ-BGU,1,24.162684330240154
2019-07-04 22:08:17,VQ-BGU,1,26.631544669943537
2019-07-05 03:17:09,VQ-BGU,1,26.631544669943537
2019-07-05 09:07:51,VQ-BGU,1,21.632754980675486
2019-07-06 12:40:04,VQ-BGU,1,21.632754980675486
2019-07-06 17:09:17,VQ-BGU,1,24.721687151807146
2019-07-06 22:15:14,VQ-BGU,1,27.44069799027966
2019-07-07 03:21:21,VQ-BGU,1,27.44069799027966
2019-07-07 09:13:05,VQ-BGU,1,26.525515856422373
2019-07-07 13:59:13,VQ-BGU,1,24.068564834617177
2019-07-07 19:02:28,VQ-BGU,1,26.525515856422373
2019-07-08 18:56:49,VQ-BGU,1,27.29053551859039
2019-07-09 01:34:01,VQ-BGU,1,27.29053551859039
2019-07-09 09:11:57,VQ-BGU,1,27.10922834315795
2019-07-09 13:42:39,VQ-BGU,1,27.10922834315795
2019-07-09 18:51:50,VQ-BGU,1,25.62157420370204
2019-07-10 01:47:13,VQ-BGU,1,25.160163701361284
2019-07-10 09:52:53,VQ-BGU,1,23.735931169782702
2019-07-10 12:42:34,VQ-BGU,1,25.160163701361284
2019-07-14 03:46:15,VQ-BGU,1,30.245493260335138
2019-07-14 12:41:29,VQ-BGU,1,30.245493260335138
2019-07-14 17:07:10,VQ-BGU,1,29.891091686123332
2019-07-15 12:22:03,VQ-BGU,1,29.104644806657063
2019-07-15 15:27:22,VQ-BGU,1,29.104644806657063
2019-07-15 18:57:39,VQ-BGU,1,29.104644806657063
2019-07-16 13:34:01,VQ-BGU,1,32.059647981977264
2019-07-16 19:01:45,VQ-BGU,1,32.059647981977264
2019-07-17 19:08:37,VQ-BGU,1,25.549788923159213
2019-07-18 13:31:58,VQ-BGU,1,25.549788923159213
2019-07-18 18:35:19,VQ-BGU,1,23.888095329288603
2019-07-19 12:45:58,VQ-BGU,1,27.67263023335704
2019-07-19 17:09:27,VQ-BGU,1,21.323891114495495
2019-07-21 09:30:14,VQ-BGU,1,29.69998440282592
2019-07-21 14:10:37,VQ-BGU,1,29.672097685783456
2019-07-21 18:31:39,VQ-BGU,1,29.672097685783456
2019-07-22 12:42:52,VQ-BGU,1,28.50590556965892
2019-07-23 14:31:21,VQ-BGU,1,28.50590556965892
2019-07-23 19:23:54,VQ-BGU,1,27.154997666788404
2019-07-24 17:22:43,VQ-BGU,1,27.478132292469354
2019-07-24 22:09:53,VQ-BGU,1,27.478132292469354
2019-07-25 03:26:53,VQ-BGU,1,27.478132292469354
2019-07-25 09:08:31,VQ-BGU,1,28.219524903693696
2019-07-25 18:30:27,VQ-BGU,1,28.342267508289638
2019-07-26 17:18:32,VQ-BGU,1,28.342267508289638
2019-07-27 11:17:11,VQ-BGU,1,28.342267508289638
2019-07-27 18:40:52,VQ-BGU,1,28.764370996135312
2019-07-28 09:46:31,VQ-BGU,1,29.626759347100005
2019-07-28 18:44:10,VQ-BGU,1,30.057103179361093
2019-07-29 22:19:01,VQ-BGU,1,30.057103179361093
2019-07-30 02:25:40,VQ-BGU,1,30.956201229587577
2019-07-30 09:06:48,VQ-BGU,1,29.750760277979225
2019-08-01 12:23:20,VQ-BGU,1,30.98380790113606
2019-08-02 12:27:51,VQ-BGU,1,31.176911651835894
2019-08-02 18:56:28,VQ-BGU,1,31.176911651835894
2019-08-03 01:49:27,VQ-BGU,1,30.953173173893333
2019-08-04 15:10:15,VQ-BGU,1,30.953173173893333
2019-08-05 07:13:08,VQ-BGU,1,30.953173173893333
2019-08-05 15:16:56,VQ-BGU,1,29.387751674965784
2019-08-06 03:32:32,VQ-BGU,1,29.302638173553987
2019-08-06 15:17:38,VQ-BGU,1,23.770169440389168
2019-08-07 01:34:02,VQ-BGU,1,23.770169440389168
2019-08-08 13:55:28,VQ-BGU,1,33.473406145785134
2019-08-10 03:42:25,VQ-BGU,1,33.473406145785134
2019-08-10 14:54:48,VQ-BGU,1,29.854222378345867
2019-08-11 01:45:34,VQ-BGU,1,29.854222378345867
2019-08-11 09:09:03,VQ-BGU,1,33.86215969990292
2019-08-12 14:17:32,VQ-BGU,1,33.86215969990292
2019-08-12 19:09:49,VQ-BGU,1,33.86215969990292
2019-08-13 04:21:51,VQ-BGU,1,33.35325479323126
2019-08-13 17:15:04,VQ-BGU,1,33.80853164337941
2019-08-14 13:44:39,VQ-BGU,1,28.974342144628622
2019-08-15 15:26:08,VQ-BGU,1,31.62947042506346
2019-08-16 12:49:42,VQ-BGU,1,30.136745802250516
2019-08-16 21:21:24,VQ-BGU,1,31.62947042506346
2019-08-17 01:15:26,VQ-BGU,1,32.2616690021178
2019-08-17 03:50:54,VQ-BGU,1,33.02652061793668
2019-08-17 07:10:04,VQ-BGU,1,34.267162888909695
2019-08-17 16:01:30,VQ-BGU,1,33.842603052811
2019-08-18 14:47:11,VQ-BGU,1,33.842603052811
2019-08-20 12:09:23,VQ-BGU,1,32.76326813064787
2019-08-20 15:20:05,VQ-BGU,1,29.288389424400293
2019-08-20 22:10:41,VQ-BGU,1,29.96228927520474
2019-08-21 03:23:56,VQ-BGU,1,29.96228927520474
2019-08-21 09:16:37,VQ-BGU,1,32.39944576750793
2019-08-21 22:03:20,VQ-BGU,1,32.39944576750793
2019-08-22 03:44:49,VQ-BGU,1,29.72511434547573
2019-08-22 09:17:29,VQ-BGU,1,29.72511434547573
2019-08-22 19:53:42,VQ-BGU,1,29.72511434547573
2019-08-23 02:29:50,VQ-BGU,1,31.8644730356973
2019-08-23 14:45:19,VQ-BGU,1,31.643937591813767
2019-08-23 22:45:15,VQ-BGU,1,31.643937591813767
2019-08-24 02:19:03,VQ-BGU,1,27.98603759435855
2019-08-24 06:04:20,VQ-BGU,1,27.98603759435855
2019-08-24 15:33:03,VQ-BGU,1,33.70548655676646
2019-08-24 22:15:29,VQ-BGU,1,33.70548655676646
2019-08-25 04:58:12,VQ-BGU,1,31.30593936282378
2019-08-25 15:36:12,VQ-BGU,1,31.092538171907904
2019-08-26 03:54:00,VQ-BGU,1,31.092538171907904
2019-08-26 07:16:24,VQ-BGU,1,31.092538171907904
2019-08-26 12:17:13,VQ-BGU,1,36.41060313127889
2019-08-27 01:46:57,VQ-BGU,1,30.388799545394363
2019-08-27 13:44:40,VQ-BGU,1,34.19317623452275
2019-08-28 12:34:04,VQ-BGU,1,34.19317623452275
2019-06-15 18:32:40,VQ-BGU,2,22.201844417071925
2019-06-16 14:21:47,VQ-BGU,2,23.378683964945367
2019-06-16 19:05:18,VQ-BGU,2,24.87451869180427
2019-06-17 03:53:17,VQ-BGU,2,23.378683964945367
2019-06-17 12:46:58,VQ-BGU,2,24.965006723204056
2019-06-17 17:08:05,VQ-BGU,2,24.965006723204056
2019-06-18 07:07:24,VQ-BGU,2,24.965006723204056
2019-06-18 12:46:13,VQ-BGU,2,24.828010842447554
2019-06-18 17:13:18,VQ-BGU,2,24.828010842447554
2019-06-18 21:26:56,VQ-BGU,2,24.9140805369272
2019-06-19 09:29:06,VQ-BGU,2,25.055863243261
2019-06-19 13:45:38,VQ-BGU,2,25.67105828750789
2019-06-19 18:29:05,VQ-BGU,2,25.67105828750789
2019-06-20 09:22:01,VQ-BGU,2,24.921038249858725
2019-06-20 13:56:04,VQ-BGU,2,24.366379598519302
2019-06-20 18:47:31,VQ-BGU,2,24.366379598519302
2019-06-20 21:46:39,VQ-BGU,2,23.580053856031554
2019-06-21 07:39:46,VQ-BGU,2,21.518058687708503
2019-06-21 11:51:54,VQ-BGU,2,23.580053856031554
2019-06-21 15:12:10,VQ-BGU,2,23.500879694624814
2019-06-21 18:55:33,VQ-BGU,2,23.500879694624814
2019-06-22 01:51:26,VQ-BGU,2,22.046044113403752
2019-06-22 09:14:55,VQ-BGU,2,20.191852945037112
2019-06-22 13:44:12,VQ-BGU,2,20.191852945037112
2019-06-22 23:06:43,VQ-BGU,2,24.663831220099553
2019-06-23 02:40:48,VQ-BGU,2,24.663831220099553
2019-06-23 09:27:01,VQ-BGU,2,23.686367789010774
2019-06-23 14:06:45,VQ-BGU,2,23.686367789010774
2019-06-23 18:53:27,VQ-BGU,2,22.81960145713208
2019-06-24 01:42:59,VQ-BGU,2,23.82526481260703
2019-06-24 09:04:21,VQ-BGU,2,20.061918832494314
2019-06-24 18:38:41,VQ-BGU,2,24.054048397007023
2019-06-25 01:31:03,VQ-BGU,2,20.061918832494314
2019-06-25 13:35:02,VQ-BGU,2,24.054048397007023
2019-06-25 18:21:12,VQ-BGU,2,26.10194929349103
2019-06-26 12:45:57,VQ-BGU,2,26.10194929349103
2019-06-27 02:40:41,VQ-BGU,2,22.91337357280628
2019-06-27 07:09:08,VQ-BGU,2,22.91337357280628
2019-06-27 12:43:14,VQ-BGU,2,24.008399364543436
2019-06-27 17:10:05,VQ-BGU,2,24.008399364543436
2019-06-27 21:38:48,VQ-BGU,2,27.03272667422084
2019-06-28 01:45:21,VQ-BGU,2,27.350836873919775
2019-06-28 13:35:30,VQ-BGU,2,27.350836873919775
2019-06-28 18:20:13,VQ-BGU,2,26.192208609545048
2019-06-29 12:45:21,VQ-BGU,2,25.692034984822158
2019-06-29 17:11:36,VQ-BGU,2,25.692034984822158
2019-06-29 21:27:05,VQ-BGU,2,25.33984772510155
2019-06-30 02:15:17,VQ-BGU,2,25.320250797361666
2019-07-01 12:45:07,VQ-BGU,2,24.4213329692339
2019-07-01 22:17:54,VQ-BGU,2,25.220000571111882
2019-07-02 03:46:44,VQ-BGU,2,24.711091904030695
2019-07-02 13:55:36,VQ-BGU,2,25.220000571111882
2019-07-03 07:16:06,VQ-BGU,2,24.995545817912557
2019-07-03 11:51:50,VQ-BGU,2,25.567221032883367
2019-07-04 12:51:38,VQ-BGU,2,24.995545817912557
2019-07-04 22:08:17,VQ-BGU,2,24.164086588401403
2019-07-05 03:17:09,VQ-BGU,2,23.96499523793466
2019-07-05 09:07:51,VQ-BGU,2,23.68197862983493
2019-07-06 12:40:04,VQ-BGU,2,22.810335771487644
2019-07-06 17:09:17,VQ-BGU,2,23.68197862983493
2019-07-06 22:15:14,VQ-BGU,2,27.066858411119597
2019-07-07 03:21:21,VQ-BGU,2,27.066858411119597
2019-07-07 09:13:05,VQ-BGU,2,26.368267882032228
2019-07-07 13:59:13,VQ-BGU,2,21.864690418993064
2019-07-07 19:02:28,VQ-BGU,2,21.0384265248436
2019-07-08 18:56:49,VQ-BGU,2,21.0384265248436
2019-07-09 01:34:01,VQ-BGU,2,21.0384265248436
2019-07-09 09:11:57,VQ-BGU,2,21.254110928543128
2019-07-09 13:42:39,VQ-BGU,2,23.546581058499783
2019-07-09 18:51:50,VQ-BGU,2,24.830981843667757
2019-07-10 01:47:13,VQ-BGU,2,24.830981843667757
2019-07-10 09:52:53,VQ-BGU,2,22.709833517115612
2019-07-10 12:42:34,VQ-BGU,2,22.709833517115612
2019-07-14 03:46:15,VQ-BGU,2,24.029537537759552
2019-07-14 12:41:29,VQ-BGU,2,24.029537537759552
2019-07-14 17:07:10,VQ-BGU,2,27.074752327992883
2019-07-15 12:22:03,VQ-BGU,2,24.703271364654825
2019-07-15 15:27:22,VQ-BGU,2,24.703271364654825
2019-07-15 18:57:39,VQ-BGU,2,24.703271364654825
2019-07-16 13:34:01,VQ-BGU,2,26.81063682647482
2019-07-16 19:01:45,VQ-BGU,2,27.14199755120012
2019-07-17 19:08:37,VQ-BGU,2,26.81063682647482
2019-07-18 13:31:58,VQ-BGU,2,24.910161599913636
2019-07-18 18:35:19,VQ-BGU,2,22.543203493720057
2019-07-19 12:45:58,VQ-BGU,2,21.78396757844547
2019-07-19 17:09:27,VQ-BGU,2,22.543203493720057
2019-07-21 09:30:14,VQ-BGU,2,11.661845517373706
2019-07-21 14:10:37,VQ-BGU,2,22.44088807984747
2019-07-21 18:31:39,VQ-BGU,2,22.44088807984747
2019-07-22 12:42:52,VQ-BGU,2,22.44088807984747
2019-07-23 14:31:21,VQ-BGU,2,24.365384093079683
2019-07-23 19:23:54,VQ-BGU,2,24.042889167151884
2019-07-24 17:22:43,VQ-BGU,2,24.860214389948624
2019-07-24 22:09:53,VQ-BGU,2,26.794252226940102
2019-07-25 03:26:53,VQ-BGU,2,27.282192449381455
2019-07-25 09:08:31,VQ-BGU,2,27.282192449381455
2019-07-25 18:30:27,VQ-BGU,2,25.227350840798636
2019-07-26 17:18:32,VQ-BGU,2,24.860948377867544
2019-07-27 11:17:11,VQ-BGU,2,24.860948377867544
2019-07-27 18:40:52,VQ-BGU,2,24.671540324496732
2019-07-28 09:46:31,VQ-BGU,2,24.671540324496732
2019-07-28 18:44:10,VQ-BGU,2,24.671540324496732
2019-07-29 22:19:01,VQ-BGU,2,24.103125107298695
2019-07-30 02:25:40,VQ-BGU,2,26.427990390898515
2019-07-30 09:06:48,VQ-BGU,2,28.536708174446687
2019-08-01 12:23:20,VQ-BGU,2,28.536708174446687
2019-08-02 12:27:51,VQ-BGU,2,26.44525991869085
2019-08-02 18:56:28,VQ-BGU,2,26.44525991869085
2019-08-03 01:49:27,VQ-BGU,2,31.680372562488344
2019-08-04 15:10:15,VQ-BGU,2,31.680372562488344
2019-08-05 07:13:08,VQ-BGU,2,32.84226754382104
2019-08-05 15:16:56,VQ-BGU,2,29.405229977553404
2019-08-06 03:32:32,VQ-BGU,2,34.42396497904758
2019-08-06 15:17:38,VQ-BGU,2,33.40444550935706
2019-08-07 01:34:02,VQ-BGU,2,33.40444550935706
2019-08-08 13:55:28,VQ-BGU,2,33.18212395742535
2019-08-10 03:42:25,VQ-BGU,2,31.68383039685358
2019-08-10 14:54:48,VQ-BGU,2,29.18611861188299
2019-08-11 01:45:34,VQ-BGU,2,29.18611861188299
2019-08-11 09:09:03,VQ-BGU,2,29.458374428046454
2019-08-12 14:17:32,VQ-BGU,2,29.458374428046454
2019-08-12 19:09:49,VQ-BGU,2,29.458374428046454
2019-08-13 04:21:51,VQ-BGU,2,25.829351728915867
2019-08-13 17:15:04,VQ-BGU,2,35.088598039383214
2019-08-14 13:44:39,VQ-BGU,2,25.82230258959214
2019-08-15 15:26:08,VQ-BGU,2,31.93586085274916
2019-08-16 12:49:42,VQ-BGU,2,28.195111372360543
2019-08-16 21:21:24,VQ-BGU,2,28.195111372360543
2019-08-17 01:15:26,VQ-BGU,2,28.195111372360543
2019-08-17 03:50:54,VQ-BGU,2,32.24076850792966
2019-08-17 07:10:04,VQ-BGU,2,32.24076850792966
2019-08-17 16:01:30,VQ-BGU,2,31.924365959391935
2019-08-18 14:47:11,VQ-BGU,2,29.586288174276433
2019-08-20 12:09:23,VQ-BGU,2,29.586288174276433
2019-08-20 15:20:05,VQ-BGU,2,28.043133559969533
2019-08-20 22:10:41,VQ-BGU,2,31.316647134515733
2019-08-21 03:23:56,VQ-BGU,2,28.340303959816538
2019-08-21 09:16:37,VQ-BGU,2,28.340303959816538
2019-08-21 22:03:20,VQ-BGU,2,28.340303959816538
2019-08-22 03:44:49,VQ-BGU,2,28.275091121199353
2019-08-22 09:17:29,VQ-BGU,2,28.275091121199353
2019-08-22 19:53:42,VQ-BGU,2,28.275091121199353
2019-08-23 02:29:50,VQ-BGU,2,25.556289283088915
2019-08-23 14:45:19,VQ-BGU,2,25.556289283088915
2019-08-23 22:45:15,VQ-BGU,2,25.556289283088915
2019-08-24 02:19:03,VQ-BGU,2,23.057473272865423
2019-08-24 06:04:20,VQ-BGU,2,29.399337518049208
2019-08-24 15:33:03,VQ-BGU,2,29.399337518049208
2019-08-24 22:15:29,VQ-BGU,2,30.803794769235083
2019-08-25 04:58:12,VQ-BGU,2,30.803794769235083
2019-08-25 15:36:12,VQ-BGU,2,28.934848478060758
2019-08-26 03:54:00,VQ-BGU,2,28.750625447019615
2019-08-26 07:16:24,VQ-BGU,2,28.934848478060758
2019-08-26 12:17:13,VQ-BGU,2,25.959223234469277
2019-08-27 01:46:57,VQ-BGU,2,29.06785442705666
2019-08-27 13:44:40,VQ-BGU,2,30.646948970650328
2019-08-28 12:34:04,VQ-BGU,2,32.60503433182146
2019-06-03 13:41:56,VQ-BDU,1,25.761568895974378
2019-06-04 02:50:23,VQ-BDU,1,25.761568895974378
2019-06-04 07:10:39,VQ-BDU,1,22.77566026025785
2019-06-05 09:52:37,VQ-BDU,1,26.90530645968495
2019-06-05 13:59:11,VQ-BDU,1,22.77566026025785
2019-06-05 18:52:45,VQ-BDU,1,23.39984652626184
2019-06-06 01:50:10,VQ-BDU,1,23.39984652626184
2019-06-06 09:36:00,VQ-BDU,1,23.39984652626184
2019-06-06 14:01:36,VQ-BDU,1,21.30841119041611
2019-06-06 18:39:20,VQ-BDU,1,21.240594750384233
2019-06-07 01:39:27,VQ-BDU,1,21.240594750384233
2019-06-07 09:07:03,VQ-BDU,1,22.915958324089956
2019-06-07 18:32:55,VQ-BDU,1,22.915958324089956
2019-06-08 01:51:31,VQ-BDU,1,22.915958324089956
2019-06-08 09:32:08,VQ-BDU,1,24.046666061944478
2019-06-08 14:06:07,VQ-BDU,1,24.046666061944478
2019-06-08 19:07:59,VQ-BDU,1,26.43300787124673
2019-06-09 02:14:39,VQ-BDU,1,25.51631225814586
2019-06-09 09:38:59,VQ-BDU,1,26.43300787124673
2019-06-09 14:15:22,VQ-BDU,1,25.51631225814586
2019-06-09 19:10:35,VQ-BDU,1,26.43988279580205
2019-06-10 15:07:05,VQ-BDU,1,22.381418784384167
2019-06-10 19:27:04,VQ-BDU,1,26.43988279580205
2019-06-11 02:15:16,VQ-BDU,1,22.381418784384167
2019-06-11 09:32:10,VQ-BDU,1,25.560856508294677
2019-06-11 14:03:12,VQ-BDU,1,25.560856508294677
2019-06-12 00:13:47,VQ-BDU,1,25.996680773532162
2019-06-12 03:46:54,VQ-BDU,1,26.085333227724647
2019-06-12 09:06:55,VQ-BDU,1,27.251523687908346
2019-06-12 13:43:14,VQ-BDU,1,27.251523687908346
2019-06-13 09:05:29,VQ-BDU,1,23.27050969049155
2019-06-13 13:36:57,VQ-BDU,1,19.6795769877816
2019-06-13 18:52:51,VQ-BDU,1,20.968127847477334
2019-06-14 01:38:01,VQ-BDU,1,20.968127847477334
2019-06-14 09:23:45,VQ-BDU,1,21.670163857620608
2019-06-15 13:56:47,VQ-BDU,1,21.952013434911976
2019-06-15 19:02:55,VQ-BDU,1,21.952013434911976
2019-06-16 09:10:16,VQ-BDU,1,21.952013434911976
2019-06-16 14:07:00,VQ-BDU,1,22.404283064838737
2019-06-16 19:08:34,VQ-BDU,1,22.404283064838737
2019-06-17 01:57:42,VQ-BDU,1,22.404283064838737
2019-06-17 18:59:25,VQ-BDU,1,27.8531417819936
2019-06-18 01:51:08,VQ-BDU,1,23.249400316934228
2019-06-18 09:11:43,VQ-BDU,1,23.249400316934228
2019-06-18 13:51:19,VQ-BDU,1,22.846431578218684
2019-06-18 18:52:08,VQ-BDU,1,22.846431578218684
2019-06-19 09:17:44,VQ-BDU,1,20.60488837950109
2019-06-19 13:52:36,VQ-BDU,1,25.012638917844882
2019-06-20 04:04:08,VQ-BDU,1,25.706963040823084
2019-06-20 07:32:07,VQ-BDU,1,29.070975546409485
2019-06-20 11:11:57,VQ-BDU,1,29.070975546409485
2019-06-20 15:06:31,VQ-BDU,1,27.024953077780637
2019-06-20 18:57:15,VQ-BDU,1,20.66977895043739
2019-06-21 09:37:08,VQ-BDU,1,20.66977895043739
2019-06-21 13:58:13,VQ-BDU,1,26.580100977270675
2019-06-22 02:57:48,VQ-BDU,1,26.580100977270675
2019-06-22 12:45:42,VQ-BDU,1,24.632575723553245
2019-06-23 09:06:52,VQ-BDU,1,22.058286581067037
2019-06-23 13:47:41,VQ-BDU,1,20.3706248030347
2019-06-23 19:30:10,VQ-BDU,1,19.467341612985607
2019-06-24 09:58:58,VQ-BDU,1,20.3706248030347
2019-06-24 14:56:53,VQ-BDU,1,23.29760035928807
2019-06-24 19:24:33,VQ-BDU,1,25.102357907883388
2019-06-25 09:20:29,VQ-BDU,1,23.29760035928807
2019-06-25 19:34:33,VQ-BDU,1,24.193172747266587
2019-06-26 02:20:07,VQ-BDU,1,24.193172747266587
2019-06-26 09:48:18,VQ-BDU,1,28.562727670731903
2019-06-26 14:03:56,VQ-BDU,1,28.562727670731903
2019-06-26 18:39:57,VQ-BDU,1,25.03168529036118
2019-06-27 09:14:47,VQ-BDU,1,23.691701582678135
2019-06-27 13:35:56,VQ-BDU,1,23.951477681956433
2019-06-27 22:52:38,VQ-BDU,1,23.951477681956433
2019-06-28 02:39:04,VQ-BDU,1,25.84457015651961
2019-06-28 14:08:48,VQ-BDU,1,25.84457015651961
2019-06-28 18:49:19,VQ-BDU,1,24.104891795765866
2019-06-29 02:02:57,VQ-BDU,1,20.739997056070692
2019-06-29 18:25:27,VQ-BDU,1,20.739997056070692
2019-06-30 22:46:35,VQ-BDU,1,22.5164826501602
2019-07-01 02:16:13,VQ-BDU,1,24.639424369940414
2019-07-01 09:07:13,VQ-BDU,1,26.508144240730388
2019-07-01 13:40:55,VQ-BDU,1,26.508144240730388
2019-07-01 19:05:16,VQ-BDU,1,25.14670437566447
2019-07-02 02:10:08,VQ-BDU,1,25.14670437566447
2019-07-02 14:34:17,VQ-BDU,1,25.604337975941093
2019-07-02 17:37:56,VQ-BDU,1,28.600768938304256
2019-07-02 21:13:21,VQ-BDU,1,27.377142929264522
2019-07-03 02:35:15,VQ-BDU,1,29.417305358237584
2019-07-03 09:19:53,VQ-BDU,1,27.377142929264522
2019-07-04 09:11:56,VQ-BDU,1,24.193837538948344
2019-07-04 14:04:24,VQ-BDU,1,21.367636571650607
2019-07-04 19:12:34,VQ-BDU,1,21.18196705133208
2019-07-05 02:06:07,VQ-BDU,1,21.18196705133208
2019-07-05 09:28:20,VQ-BDU,1,19.70847537316537
2019-07-05 14:30:46,VQ-BDU,1,28.830541173385924
2019-07-05 20:38:56,VQ-BDU,1,28.830541173385924
2019-07-06 01:47:03,VQ-BDU,1,28.830541173385924
2019-07-06 09:03:27,VQ-BDU,1,24.019286743516503
2019-07-06 13:43:09,VQ-BDU,1,24.019286743516503
2019-07-07 09:11:44,VQ-BDU,1,29.801523813120397
