reportts,acnum,pos,egtm
2019-06-15 18:32:40,VQ-BGU,1,23.874957420962858
2019-06-16 14:21:47,VQ-BGU,1,24.656601495607475
2019-06-16 19:05:18,VQ-BGU,1,23.87627439546597
2019-06-17 03:53:17,VQ-BGU,1,23.495726106577024
2019-06-17 12:46:58,VQ-BGU,1,22.559458422315174
2019-06-17 17:08:05,VQ-BGU,1,26.782040157476644
2019-06-18 07:07:24,VQ-BGU,1,25.908739081523947
2019-06-18 12:46:13,VQ-BGU,1,25.46882329868427
2019-06-18 17:13:18,VQ-BGU,1,26.075981682361657
2019-06-18 21:26:56,VQ-BGU,1,25.53578821095067
2019-06-19 09:29:06,VQ-BGU,1,25.504944104570512
2019-06-19 13:45:38,VQ-BGU,1,25.01785241907791
2019-06-19 18:29:05,VQ-BGU,1,24.385833795149978
2019-06-20 09:22:01,VQ-BGU,1,23.722305130925037
2019-06-20 13:56:04,VQ-BGU,1,27.24513230551665
2019-06-20 18:47:31,VQ-BGU,1,26.116953443070486
2019-06-20 21:46:39,VQ-BGU,1,29.478270563330454
2019-06-21 07:39:46,VQ-BGU,1,25.838134905376847
2019-06-21 11:51:54,VQ-BGU,1,26.00390244242533
2019-06-21 15:12:10,VQ-BGU,1,28.338167165816344
2019-06-21 18:55:33,VQ-BGU,1,25.320148318656607
2019-06-22 01:51:26,VQ-BGU,1,27.182740043876493
2019-06-22 09:14:55,VQ-BGU,1,23.3113835845719
2019-06-22 13:44:12,VQ-BGU,1,27.004943348568474
2019-06-22 23:06:43,VQ-BGU,1,25.91687576663341
2019-06-23 02:40:48,VQ-BGU,1,27.00000482691823
2019-06-23 09:27:01,VQ-BGU,1,27.684732851970296
2019-06-23 14:06:45,VQ-BGU,1,26.648541387047118
2019-06-23 18:53:27,VQ-BGU,1,26.462255333085096
2019-06-24 01:42:59,VQ-BGU,1,25.78408673648059
2019-06-24 09:04:21,VQ-BGU,1,27.824691291882743
2019-06-24 18:38:41,VQ-BGU,1,24.78952556100566
2019-06-25 01:31:03,VQ-BGU,1,25.734265231169132
2019-06-25 13:35:02,VQ-BGU,1,26.88135668240824
2019-06-25 18:21:12,VQ-BGU,1,25.124404881764633
2019-06-26 12:45:57,VQ-BGU,1,25.357712247081054
2019-06-27 02:40:41,VQ-BGU,1,23.323977894390197
2019-06-27 07:09:08,VQ-BGU,1,23.034436151172827
2019-06-27 12:43:14,VQ-BGU,1,22.413821623371717
2019-06-27 17:10:05,VQ-BGU,1,22.72167047087231
2019-06-27 21:38:48,VQ-BGU,1,22.180895297936132
2019-06-28 01:45:21,VQ-BGU,1,20.94653558483023
2019-06-28 13:35:30,VQ-BGU,1,23.793459879345477
2019-06-28 18:20:13,VQ-BGU,1,23.72927808406132
2019-06-29 12:45:21,VQ-BGU,1,20.719899396143887
2019-06-29 17:11:36,VQ-BGU,1,20.863712200222665
2019-06-29 21:27:05,VQ-BGU,1,21.33790552096832
2019-06-30 02:15:17,VQ-BGU,1,22.10832758170139
2019-07-01 12:45:07,VQ-BGU,1,21.872762260304057
2019-07-01 22:17:54,VQ-BGU,1,22.838926764249408
2019-07-02 03:46:44,VQ-BGU,1,22.342657914231467
2019-07-02 13:55:36,VQ-BGU,1,22.070955451153253
2019-07-03 07:16:06,VQ-BGU,1,19.295775409266128
2019-07-03 11:51:50,VQ-BGU,1,23.30048408078312
2019-07-04 12:51:38,VQ-BGU,1,22.589737156665194
2019-07-04 22:08:17,VQ-BGU,1,21.58127847401329
2019-07-05 03:17:09,VQ-BGU,1,22.60928432858529
2019-07-05 09:07:51,VQ-BGU,1,20.21492477301524
2019-07-06 12:40:04,VQ-BGU,1,20.67792758924105
2019-07-06 17:09:17,VQ-BGU,1,22.523429271153873
2019-07-06 22:15:14,VQ-BGU,1,21.87364690139944
2019-07-07 03:21:21,VQ-BGU,1,22.688192063448042
2019-07-07 09:13:05,VQ-BGU,1,22.9096705654095
2019-07-07 13:59:13,VQ-BGU,1,21.931307403468452
2019-07-07 19:02:28,VQ-BGU,1,20.432645374113434
2019-07-08 18:56:49,VQ-BGU,1,21.09592495072735
2019-07-09 01:34:01,VQ-BGU,1,21.624266164173463
2019-07-09 09:11:57,VQ-BGU,1,21.5121911076846
2019-07-09 13:42:39,VQ-BGU,1,22.388632290426074
2019-07-09 18:51:50,VQ-BGU,1,21.288400797831315
